,peopleCd,peopleNm,repRoleNm,filmoNames,movieCd
1276,20125826,김홍선,감독,늑대사냥,20211472
1326,20111250,유하,감독,파이프라인,20194461
1401,20326812,홍용호,감독,배심원들,20187981
1402,10071129,차성덕,감독,배심원들,20187981
1403,20314390,홍승완,감독,배심원들,20187981
1460,20359672,오유빈,감독,여곡성,20179006
1461,20359672,오유빈,감독,여곡성,19860053
1462,20157236,유영선,감독,여곡성,20179006
1463,20157236,유영선,감독,여곡성,19860053
1464,10058081,이혁수,감독,여곡성,20179006
1465,10058081,이혁수,감독,여곡성,19860053
1493,10040434,신수원,감독,오마주,20211382
1494,20184561,오세인,감독,오마주,20211382
