,movieCd,auditNo,watchGradeNm,watchCd
52,20157064,2016-MF01905,15세이상관람가,15
53,20156564,2016-MF00717 ,15세이상관람가,15
54,20090023,2009-F30,15세이상관람가,15
55,20168247,2017-MF00887,청소년관람불가,19
56,20173612,2017-MF01751,15세이상관람가,15
57,20159648,2016-MF01166 ,전체관람가,all
58,20158705,2016-MF00098 ,15세이상관람가,15
59,20081648,2009-F65,12세이상관람가,12
60,20218527,2022-MF01192 ,15세이상관람가,15
61,20191422,2020-MF00006 ,15세이상관람가,15
62,20185341,2018-MF01024,15세이상관람가,15
63,20136864,2014-MF00800 ,청소년관람불가,19
64,20188441,2021-MF03045 ,15세이상관람가,15
65,20183782,2019-MF00595,15세이상관람가,15
66,20188421,2019-MF02572,12세이상관람가,12
67,20197846,2019-MF00018,청소년관람불가,19
68,20170658,2018-MF02410,15세이상관람가,15
69,20161681,2017-MF01849,청소년관람불가,19
70,20161726,2017-MF00575,12세이상관람가,12
71,20142855,2015-MF00976 ,15세이상관람가,15
72,20130442,2014-MF00423 ,15세이상관람가,15
73,20137041,2013-MF00240,청소년관람불가,19
74,20121741,2012-F943,청소년관람불가,19
75,20113554,2012-F282,15세이상관람가,15
76,20124050,2012-F114,15세이상관람가,15
77,20119619,2011-F189,15세이상관람가,15
78,20101221,2010-F483 ,청소년관람불가,19
